"","year","prim_state","CBSA_Code","CBSA_name","tot_emp_school_psychologists","tot_emp_teachers_preschool","tot_emp_bus_drivers","tot_emp_administrators_elemsec","tot_emp_teachers_kindergarten","tot_emp_teachers_elementary","tot_emp_teachers_secondary","tot_emp_administrators_preschool","tot_emp_teachers_middle_school","tot_emp_teachers_other","a_mean_school_psychologists","a_mean_teachers_preschool","a_mean_bus_drivers","a_mean_administrators_elemsec","a_mean_teachers_kindergarten","a_mean_teachers_elementary","a_mean_teachers_secondary","a_mean_administrators_preschool","a_mean_teachers_middle_school","a_mean_teachers_other","a_median_school_psychologists","a_median_teachers_preschool","a_median_bus_drivers","a_median_administrators_elemsec","a_median_teachers_kindergarten","a_median_teachers_elementary","a_median_teachers_secondary","a_median_administrators_preschool","a_median_teachers_middle_school","a_median_teachers_other","tot_emp_substitute_teachers","a_mean_substitute_teachers","a_median_substitute_teachers"
"81",1999,"IA",26980,"Iowa City, IA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16060,NA,NA,NA,32960,NA,42110,NA,NA,NA,15130,NA,NA,NA,31910,NA,47090,NA,NA,NA,NA,NA
"82",1999,"IA",43580,"Sioux City, IA-NE-SD",NA,70,NA,80,NA,910,NA,NA,NA,NA,NA,17960,13790,79230,NA,27550,NA,NA,30670,NA,NA,16570,12640,74390,NA,27320,NA,NA,28230,NA,NA,NA,NA
"83",1999,"IA",47940,"Waterloo-Cedar Falls, IA",NA,NA,80,100,NA,1060,NA,40,600,NA,40150,NA,26470,59730,NA,29580,37240,46330,38860,NA,40380,NA,23710,63430,NA,29200,38580,49850,39440,NA,NA,NA,NA
"84",1999,"ID",14260,"Boise City, ID",NA,610,740,270,150,2910,2580,NA,NA,NA,55640,15940,18310,64090,17090,34670,34140,NA,NA,NA,51720,15510,19110,64030,16720,31930,34440,NA,NA,NA,NA,NA,NA
"85",1999,"IL",14010,"Bloomington, IL",NA,330,NA,90,NA,NA,NA,50,NA,NA,NA,21360,25170,84570,36310,38120,NA,39410,NA,NA,NA,16900,24800,89050,31960,32180,NA,37890,NA,NA,NA,NA,NA
"86",1999,"IL",16580,"Champaign-Urbana, IL",NA,300,NA,170,NA,820,NA,NA,600,NA,NA,15450,29680,66250,37150,38040,NA,NA,54980,NA,NA,15350,19750,66470,34720,36030,NA,NA,55930,NA,NA,NA,NA
"87",1999,"IL",16980,"Chicago-Naperville-Elgin, IL-IN",2360,NA,13230,5690,2250,47410,22070,850,11890,NA,48330,20610,21440,76540,39410,40660,55370,48500,44400,NA,43810,18820,20710,76540,35690,34380,53370,42020,40660,NA,NA,NA,NA
"88",1999,"IL",19500,"Decatur, IL",50,40,NA,NA,NA,NA,300,NA,NA,NA,36210,15740,NA,NA,NA,NA,38520,NA,NA,NA,32280,12700,NA,NA,NA,NA,39500,NA,NA,NA,NA,NA,NA
"89",1999,"IL",28100,"Kankakee, IL",NA,60,330,70,150,530,450,NA,NA,NA,NA,24300,17150,64890,38070,39910,40440,NA,41190,NA,NA,23500,16350,67170,36860,40660,38140,NA,40040,NA,NA,NA,NA
"90",1999,"IL",37900,"Peoria, IL",290,100,550,280,240,2080,1090,70,530,NA,37060,18310,20270,61740,31940,33260,41720,35110,36570,NA,34890,16980,17220,66020,30860,31530,38760,26800,36830,NA,NA,NA,NA
